state_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_totalstate_code,state_name,district_code,district_name,tehsil-village_name,mec_upto_1to1pt5_year,mec_breeding,mec_draught,mec_draught_breeding,mec_others,mec_total,fec_upto_1_year,fec_1to2pt5_year,fec_milk,fec_dry,fec_not_calved_once,fec_others,fec_total,ec_total24,GUJARAT,491,Valsad,Tahsil-ValsadVillage-Malvan,18,9,15,7,5,54,22,7,34,11,11,0,85,139
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Khandi,10,3,0,0,0,13,12,5,31,15,2,0,65,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Gyaling,12,7,0,0,0,19,14,12,44,14,12,0,96,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Purtikchy,46,6,1,0,0,53,29,12,82,29,0,0,152,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-ThangDumb,22,0,0,0,0,22,44,30,78,24,20,0,196,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Sangra,35,0,1,0,0,36,65,36,225,47,17,0,390,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Stakpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-KarpoKhar,0,0,0,0,0,0,0,1,2,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-KarcheYKh,30,12,0,0,0,42,35,26,101,22,10,0,194,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-SankuVillage-Barsoo,38,13,0,0,0,51,34,70,113,64,50,0,331,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Akshow,0,2,0,0,0,2,1,3,5,5,1,0,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Abran,0,2,0,0,0,2,1,2,1,2,0,0,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Hamiling,0,1,0,0,0,1,0,1,8,1,0,1,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-RemalaSky,4,3,0,0,0,7,1,5,16,1,0,0,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Phey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Ating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Kargyak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Pipcha,0,0,0,0,0,0,0,2,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-ShanShada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-RuruMoony,0,0,0,0,0,0,2,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Chah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Icher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-Testa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JAMMU&KASHMIR,4,Kargil,Tahsil-ZanskarVillage-UptiPipit,1,0,4,1,0,6,2,2,49,9,2,0,64,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
